Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
525bc1cd520336ff0af7f415e91672a05267b0dc4e8b17aa3bdf553cddc209e3,2022-07,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
2b7e65a85f7e7a08a5144ca5affdf28d541fcaa3cf0c5d19554cc69b04ae003a,2022-07,Gwent Police,Gwent Police,-3.075084,51.601607,On or near B4591,W01001407,Caerphilly 016A,Investigation complete; no suspect identified
868f0126c04bf345e2d79b7598a213609b19b4899c93e8c2a6c2f5ae4f92c514,2022-07,Gwent Police,Gwent Police,-2.979764,51.589754,On or near Probert Place,W01001692,Newport 011E,Investigation complete; no suspect identified
c8ce60440e2bb9513252d8714b53ef22247b540f450dcebfcb0d7b2eace59011,2022-07,Gwent Police,Gwent Police,-3.100844,51.608228,On or near Tredegar Street,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
e4edeb6a8ef7eb07f24f6f24f8a23ffe23099a368148e46c5e580074e7d616a5,2022-07,Gwent Police,Gwent Police,-3.026795,51.662130,On or near Richmond Street,W01001522,Torfaen 007D,Investigation complete; no suspect identified
50ae09d9ffc41471a2a794fdbdff79b86109b75571340f90603ebda9a019cfb6,2022-07,Gwent Police,Gwent Police,-3.027281,51.825949,On or near Stryd Y Mynydd,W01001546,Monmouthshire 002A,Investigation complete; no suspect identified
ef1e95f12a74ff3f063d3d26046c0169aaa014a158b8e1e098681b3d3571c202,2022-07,Gwent Police,Gwent Police,-3.208196,51.783013,On or near Colliers' Row,W01001456,Blaenau Gwent 004C,Investigation complete; no suspect identified
f32b760df4d4c1904ec3f4b573a42c19f8c5c1f18d5117e5bc84c4da3900b0ea,2022-07,Gwent Police,Gwent Police,-3.225186,51.585839,On or near ,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
38b1a07fa7a8e61192ca391662c98cbaa75b11a70ef399a4319febf0359bdd6a,2022-07,Gwent Police,Gwent Police,-3.040715,51.638629,On or near West Roedin,W01001492,Torfaen 012A,Investigation complete; no suspect identified
159c2bde24fda20693670342bef9451652f4a8dfdffba308945ad1c300f1d455,2022-07,Gwent Police,Gwent Police,-2.757942,51.596665,On or near Lon Dywodlyd,W01001908,Monmouthshire 010G,Investigation complete; no suspect identified
03e9c348420e45b5f1d5afe495cf40205b0b54879aeb9815c4f365f04e3ab987,2022-07,Gwent Police,Gwent Police,-3.016768,51.654709,On or near ,W01001506,Torfaen 010A,Investigation complete; no suspect identified
7ea9cb6f1032eecc060955bd2fbf911ae850471e7afbc7c7f471ceede21ba111,2022-07,Gwent Police,Gwent Police,-2.942845,51.590758,On or near Dents Hill,W01001609,Newport 015B,Investigation complete; no suspect identified
e81d2e748758bc8dcab6049802df0f918bfd5d99508f4bfba2d7ba0a466f6358,2022-07,Gwent Police,Gwent Police,-3.166166,51.777269,On or near Gwaun Delyn Close,W01001469,Blaenau Gwent 005F,Investigation complete; no suspect identified
b790890c3ec981f8aa26854f376079fdfbd0b9ab906f3fa3e7c38c5667836cad,2022-07,Gwent Police,Gwent Police,-3.241235,51.570447,On or near Cae Meillion,W01001398,Caerphilly 024A,Investigation complete; no suspect identified
39d852b3ba8b1ab044332110e7e41076a412186e86394d444754b8c20b489630,2022-07,Gwent Police,Gwent Police,-2.987886,51.575551,On or near ,W01001659,Newport 018A,Investigation complete; no suspect identified
2046b80b2a7a369ec3e107ebee34dab922fe0cb737e95237d4be3a9ffcaea462,2022-07,Gwent Police,Gwent Police,-3.030576,51.611465,On or near Tone Close,W01001617,Newport 003A,Investigation complete; no suspect identified
037fab26f488786404f0ba89e503c2922cfa48bfe9dea99cb6c6a51234737449,2022-07,Gwent Police,Gwent Police,-2.671439,51.641178,On or near ,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
14ae38ef35b8e5c5a688632e65659f9cb740d859dd13eff233b26eecfbae6724,2022-07,Gwent Police,Gwent Police,-3.012649,51.611909,On or near Faraday Close,W01001652,Newport 002B,Investigation complete; no suspect identified
fe695688650b90603a49273740a239a2da7cfbf4dda6fceb9a3297cdf63a4c1d,2022-07,Gwent Police,Gwent Police,-3.231209,51.603597,On or near Oak Terrace,W01001367,Caerphilly 019B,Investigation complete; no suspect identified
0c9d0978af7420b496fa88693e11e30c6569e87f00ae01945f3612d0ac13a904,2022-07,Gwent Police,Gwent Police,-3.231046,51.600245,On or near Cwrt Ty-Fferm,W01001368,Caerphilly 019C,Investigation complete; no suspect identified
51ef55ff895a635e0c8ac6c3f331e5a204c51f678ff08abc3ebc1d83c1d2c750,2022-07,Gwent Police,Gwent Police,-3.230183,51.662837,On or near Woodside,W01001415,Caerphilly 008B,Investigation complete; no suspect identified
6a83f12269c28edebafbfb175ab152692b79ae71225fa15d5c6993f9c404eae9,2022-07,Gwent Police,Gwent Police,-3.082958,51.607271,On or near Elm Drive,W01001408,Caerphilly 016B,Investigation complete; no suspect identified
6723fa12621b1bf94d24ad46e88b9666b816ba895a7d7cab02bc252ab429e423,2022-07,Gwent Police,Gwent Police,-3.010241,51.609493,On or near Hollybush Close,W01001654,Newport 002D,Investigation complete; no suspect identified
e4b9986741032a18b348d895c545fde144c1fb84b2dbf6f3955c5456e51c10f1,2022-07,Gwent Police,Gwent Police,-3.152411,51.595613,On or near White Hart,W01001343,Caerphilly 021B,Investigation complete; no suspect identified
6dbe37edfcc93688bdf2c6720dda5bb658e1ac55c8722c5b73f7c11f3b92d494,2022-07,Gwent Police,Gwent Police,-3.229965,51.710288,On or near Herbert Street,W01001385,Caerphilly 002D,Investigation complete; no suspect identified
61c0ebbd4d0f060f6e70919edff59b4f8df1b6b62c0d425a3600f47a7ae1b483,2022-07,Gwent Police,Gwent Police,-3.165960,51.593060,On or near Dickens Court,W01001345,Caerphilly 021C,Investigation complete; no suspect identified
5b23120d502aa643791b380719381893dca79a4193f2513f54617a431c2a876b,2022-07,Gwent Police,Gwent Police,-2.963380,51.591112,On or near Beechwood Road,W01001608,Newport 008B,Investigation complete; no suspect identified
9d123677c8a91beb2d589cfabb0e29f8cae1f4d271df262391eeec10d064c394,2022-07,Gwent Police,Gwent Police,-3.140313,51.736099,On or near Ty Bryn Road,W01001453,Blaenau Gwent 008D,Investigation complete; no suspect identified
73a76da1d22f896b72f835295e3861833c672403c955203de80eab3cff94be1a,2022-07,Gwent Police,Gwent Police,-3.156112,51.764987,On or near East Pentwyn Road,W01001444,Blaenau Gwent 005B,Investigation complete; no suspect identified
8455c9f2bb8e778dffa851c55b7f8decc4fe1b7f702ca67c9fd438710463de24,2022-07,Gwent Police,Gwent Police,-3.240741,51.588310,On or near Heol Aneurin,W01001393,Caerphilly 019D,Investigation complete; no suspect identified
e59c6b79444431b223b8dec17ec709d8c13e88eb5addf8ba752205d9d972b574,2022-07,Gwent Police,Gwent Police,-3.218101,51.588637,On or near Heol Gwaun Rhos,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
339bfcbb7dd56f2f731eaca312669697780ea8b6e8a377f5e5cf03d7476d4c6e,2022-07,Gwent Police,Gwent Police,-3.028230,51.683373,On or near Glengariff Court,W01001515,Torfaen 006B,Investigation complete; no suspect identified
bd026af9b7e16c0d60f3448a272c74cba289f1aa4081c6812683b21088ae0816,2022-07,Gwent Police,Gwent Police,-3.211105,51.670732,On or near Cefn-Fforest Avenue,W01001352,Caerphilly 007A,Investigation complete; no suspect identified
c145dbd6bc65bf8d439d5c3f45756fa582834b4d9af236b24ffef0b470b2ab5a,2022-07,Gwent Police,Gwent Police,-3.042688,51.638342,On or near Oxtens,W01001492,Torfaen 012A,Investigation complete; no suspect identified
44d355dcf59b7765f3233864a90bbb6dc286ec644c09f2d86f71cf42e033ba30,2022-07,Gwent Police,Gwent Police,-3.207805,51.773495,On or near ,W01001460,Blaenau Gwent 007E,Investigation complete; no suspect identified
600a4102fb2196302cc0da0649ac0fc3611962f9bcfeb6c7bff72d38278c7cf8,2022-07,Gwent Police,Gwent Police,-2.993675,51.600130,On or near The Turnstiles,W01001683,Newport 006D,Investigation complete; no suspect identified
23eb20413780969611def086ecece1ed86e8364e0bd533ab8a3839ca9321337a,2022-07,Gwent Police,Gwent Police,-2.976123,51.588265,On or near Archibald Street,W01001612,Newport 011B,Investigation complete; no suspect identified
2894a006e70733d3aa3346bc11a4edd160c1e26366ff762270bf64ee435d38d4,2022-07,Gwent Police,Gwent Police,-3.025994,51.661238,On or near Commercial Street,W01001522,Torfaen 007D,Investigation complete; no suspect identified
9e221a4ed3a1563d03deef760c878cba534916b0128f1147b55f4db647804407,2022-07,Gwent Police,Gwent Police,-2.937408,51.597995,On or near Royal Oak Drive,W01001663,Newport 008C,Investigation complete; no suspect identified
0d5e47778554b09a723901472e182e4a3bda0ebd8b28a721f9f9bd7e59cce656,2022-07,Gwent Police,Gwent Police,-3.038539,51.647145,On or near ,W01001526,Torfaen 010B,Investigation complete; no suspect identified
e8bd2ffaf9b236cdab7a02593a7942d52e8af63e652ea8c453aa347006cff9a0,2022-07,Gwent Police,Gwent Police,-3.010297,51.574920,On or near Lyndhurst Avenue,W01001629,Newport 017A,Investigation complete; no suspect identified
be2a79a8c3a190a43e46cf391c944e2a5d7ea9de2f3679965913d37a3d9dbf9c,2022-07,Gwent Police,Gwent Police,-3.283595,51.652689,On or near Station Terrace,W01001378,Caerphilly 013B,Investigation complete; no suspect identified
bea4cbfe7e42200cacd8d8c0d5ee9236b520f331a5738fe08ed8f4a97c2528ac,2022-07,Gwent Police,Gwent Police,-3.009392,51.691739,On or near ,W01001511,Torfaen 005B,Investigation complete; no suspect identified
27f3ba1b9e0545de3cfd747ace622fb6e6f25fece720bf25fd8bf870af3ef2c0,2022-07,Gwent Police,Gwent Police,-3.033338,51.611630,On or near Helford Square,W01001619,Newport 003C,Investigation complete; no suspect identified
c54cd798de7e51575ba8bb35992c8826acb512d326f8ae29012c5831cf6b8785,2022-07,Gwent Police,Gwent Police,-2.996375,51.586278,On or near ,W01001687,Newport 014D,Investigation complete; no suspect identified
ed285b8315a97b4134d16042f1845213c5185a4804eaf490dcf429c9fda8a34a,2022-07,Gwent Police,Gwent Police,-2.999266,51.589140,On or near Casnewydd,W01001685,Newport 014B,Investigation complete; no suspect identified
8f29be749ba4a0a3210c014aa932c27f43ece901081c36ed247d802b846bf072,2022-07,Gwent Police,Gwent Police,-3.213134,51.578806,On or near ,W01001422,Caerphilly 022F,Investigation complete; no suspect identified
39561029f2742dc07fc6177943a1f4c05c8eac04e20a865aa69eb134bb9d2eac,2022-07,Gwent Police,Gwent Police,-3.165960,51.593060,On or near Dickens Court,W01001345,Caerphilly 021C,Investigation complete; no suspect identified
9b92cadde021065dcaefa9a6e63de15b1b39018974dbd0e20543bb8f0b4f3825,2022-07,Gwent Police,Gwent Police,-3.116208,51.617587,On or near Medart Street,W01001355,Caerphilly 015A,Investigation complete; no suspect identified
4c77cfeb4e154e48757c48e96b6903cd3a5b2999cea74af96e988c94b195998e,2022-07,Gwent Police,Gwent Police,-3.015665,51.638336,On or near Greenwillows,W01001504,Torfaen 013A,Investigation complete; no suspect identified
f51a4942b076b3a08f667b58cf5892a53cfbbf7f1290b6b4fc6332490dd080bb,2022-07,Gwent Police,Gwent Police,-3.083989,51.608125,On or near Elm Drive,W01001408,Caerphilly 016B,Investigation complete; no suspect identified
4d659879c5269b5c0ce6e37ede8de92216425fa7a0d86f915db05f316e826b64,2022-07,Gwent Police,Gwent Police,-2.993437,51.586591,On or near ,W01001687,Newport 014D,Investigation complete; no suspect identified
60f5c6cc93251b8e41b9267ff9110f5b14f7fa2ce10a3d6d9371568a1f78e9dd,2022-07,Gwent Police,Gwent Police,-2.995634,51.589387,On or near Market Street,W01001685,Newport 014B,Investigation complete; no suspect identified
29a547b140e9d745f7592a0e09d0ba026462997981efe7ab49e9b34df4f8e648,2022-07,Gwent Police,Gwent Police,-3.038082,51.644191,On or near Langstone Court,W01001532,Torfaen 010E,Investigation complete; no suspect identified
bee87cf6a8de70a03c53705ef8e122ff0aa4d1c84f027cf6fe8a9b7fbce95f8d,2022-07,Gwent Police,Gwent Police,-3.019848,51.821959,On or near Nevill Street,W01001557,Monmouthshire 001C,Investigation complete; no suspect identified
526a9ef06595948822b0ffb973c4257357ec64320a157e53c1a9f99ad0abf72d,2022-07,Gwent Police,Gwent Police,-3.136520,51.729212,On or near Glan Ebbw Terrace,W01001436,Blaenau Gwent 008B,Investigation complete; no suspect identified
4c711726a442c26e4e594ee109d06b49032d60c39815c6c8990ba18b09d6647c,2022-07,Gwent Police,Gwent Police,-3.297425,51.741590,On or near Cae Glas Newydd,W01001361,Caerphilly 002B,Investigation complete; no suspect identified
21ec776199efc23203a84d42a6cca779feae81ae2b800614904508d70718906d,2022-07,Gwent Police,Gwent Police,-3.035861,51.660279,On or near Coed Cae,W01001539,Torfaen 009E,Investigation complete; no suspect identified
a5d052eb4a3f628b314208712bc8f02788cd44c559b27ef0cebeeb2876ace8e3,2022-07,Gwent Police,Gwent Police,-2.968388,51.577485,On or near Spytty Road,W01001642,Newport 013A,Investigation complete; no suspect identified
a1a1b93ba23291b4a235eeececd25b4e2c48741b385a7f6bc11b006069fe170d,2022-07,Gwent Police,Gwent Police,-2.982381,51.590622,On or near ,W01001692,Newport 011E,Investigation complete; no suspect identified
4612193f42cf6c125bb425c45b936c188799841160c4a4add802cb8d414f2b23,2022-07,Gwent Police,Gwent Police,-3.204167,51.579744,On or near Haldane Court,W01001419,Caerphilly 021D,Investigation complete; no suspect identified
79b11313488fc36ad9a3268a39124a0895361371ef1469dacd7ce3df5f1385b7,2022-07,Gwent Police,Gwent Police,-3.021161,51.655255,On or near ,W01001506,Torfaen 010A,Investigation complete; no suspect identified
77b1bbf54d2e5085a06c039e7bee67c9eea40c71906fa72f4f3ec289ed5d5b4f,2022-07,Gwent Police,Gwent Police,-3.035295,51.644333,On or near Waun Road,W01001532,Torfaen 010E,Investigation complete; no suspect identified
028d6d62793fb7eeea6776acde5893009076533196029c23dc0bd48bed0b6a18,2022-07,Gwent Police,Gwent Police,-2.978714,51.589250,On or near Wharf Lane,W01001691,Newport 011D,Investigation complete; no suspect identified
7b4fbcb317231cd7be49d196f2377bab748d59f3dfc2b215c27c6c1ea08e072b,2022-07,Gwent Police,Gwent Police,-3.230594,51.564840,On or near Watford Road,W01001426,Caerphilly 024E,Investigation complete; no suspect identified
6017d5b2e8c72bc854353f661b6116bd5e3160da4ba968f51ef54954f8814baa,2022-07,Gwent Police,Gwent Police,-3.208066,51.772197,On or near Saron Place,W01001461,Blaenau Gwent 007F,Investigation complete; no suspect identified
281aa23a11dd7e67080ea4d9f833dc5a590d922cc5a2eb3e11cba7ace67a5a05,2022-07,Gwent Police,Gwent Police,-3.141719,51.735555,On or near ,W01001453,Blaenau Gwent 008D,Investigation complete; no suspect identified
6e829883be86bc564c0dcf2b32c4b7bd4980f4387e8b7643395c27108f52b96f,2022-07,Gwent Police,Gwent Police,-3.215064,51.785576,On or near Clos Trehelyg,W01001458,Blaenau Gwent 004E,Investigation complete; no suspect identified
626ffcb59c7a46139e5ca81ac16a36bd3ca6235751e79840a48984bf404efcdf,2022-07,Gwent Police,Gwent Police,-3.225811,51.801793,On or near Phillips Close,W01001471,Blaenau Gwent 001E,Investigation complete; no suspect identified
5b28fa44ee154f18b956a1b0ad6a285712cb469373872e9b816c32ca38dbf896,2022-07,Gwent Police,Gwent Police,-3.194598,51.666594,On or near ,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
2edefc09f2c3a05a5a541df70a0b9f07bdeb8d62ea4d43e9e8dc2174aa77f960,2022-07,Gwent Police,Gwent Police,-3.011330,51.825791,On or near Heol y Priordy,W01001580,Monmouthshire 002E,Investigation complete; no suspect identified
6659d410aa91385cde1cb0a7836de4fefc5fb9b073e3fde37894f6f6847028aa,2022-07,Gwent Police,Gwent Police,-3.084316,51.774348,On or near Lion Street,W01001489,Torfaen 001C,Investigation complete; no suspect identified
e2644c3202b6e67db4f71fe78b2e2ab01d4772be18d200e8e1e0d8b20b38b478,2022-07,Gwent Police,Gwent Police,-1.347742,50.915820,On or near Sunningdale Gardens,E01017199,Southampton 018B,Investigation complete; no suspect identified
3116c99d33e34306740a897c4190fea2cd9d278f3eb51ad5825797791747feec,2022-07,Gwent Police,Gwent Police,-3.031431,51.613499,On or near Trent Road,W01001621,Newport 003E,Investigation complete; no suspect identified
528cf6d6491b350db13a6fcf398e9a98c9b06ce602337c6f084d9d8a951af14c,2022-07,Gwent Police,Gwent Police,-2.963714,51.613040,On or near ,W01001628,Newport 001F,Investigation complete; no suspect identified
f66115c1ba41fcbba19fdf91b2e5b21bfefa243ddaa930ca65b96e6fa0d4126f,2022-07,Gwent Police,Gwent Police,-3.198198,51.586540,On or near Rudry Close,W01001420,Caerphilly 022D,Investigation complete; no suspect identified
34da6b6c9c462acbb18ce0774781ec6462ec6d7a002aab38b3c9d629b4683373,2022-07,Gwent Police,Gwent Police,-3.039399,51.713136,On or near ,W01001530,Torfaen 003C,Investigation complete; no suspect identified
4b4fdd0505146dce8864b1139a9f84e03bcf553567a158ad45c60600a408eb8f,2022-07,Gwent Police,Gwent Police,-2.972525,51.593465,On or near Crescent Road,W01001616,Newport 005C,Investigation complete; no suspect identified
c98def48e1b4d0db3a018f57e904f9e934115a460ea3f7705d2c0bca273a0407,2022-07,Gwent Police,Gwent Police,-2.752121,51.590373,On or near ,W01001589,Monmouthshire 010E,Investigation complete; no suspect identified
d90cd2dcd94304898d9bb04d192b1edc0610e67c192b3eb451ce25ffa79b3667,2022-07,Gwent Police,Gwent Police,-3.208203,51.779479,On or near West End Terrace,W01001461,Blaenau Gwent 007F,Investigation complete; no suspect identified
573a5822b638c87e77563910a6caf2b5ec56dd4c9a4212b172c4d0b04e2f7d82,2022-07,Gwent Police,Gwent Police,-3.000674,51.588184,On or near ,W01001685,Newport 014B,Investigation complete; no suspect identified
0690ea02d2623de25cd07dddfa97f9665c1d02ffcff9f3bce8657196e5c3ce68,2022-07,Gwent Police,Gwent Police,-3.200375,51.662498,On or near Gordon Road,W01001349,Caerphilly 009B,Investigation complete; no suspect identified
772fbbae42abb9c64063d42cbdc41b120097c788a5de1c2cf2da1956b97ec4c1,2022-07,Gwent Police,Gwent Police,-2.760734,51.588348,On or near Severn View,W01001598,Monmouthshire 010F,Investigation complete; no suspect identified
f4ca755f5e1417490ef9f54d4a3dadeaf5dc7cc14453c636e9b2d81cf7238dc9,2022-07,Gwent Police,Gwent Police,-3.009226,51.572177,On or near ,W01001629,Newport 017A,Investigation complete; no suspect identified
cff162726cab9f7d8c87ab4ee7f96a93132ea8ccfb0f7f75976a1fa41083dc88,2022-07,Gwent Police,Gwent Police,-3.059406,51.595491,On or near Great Oaks Park,W01001670,Newport 009B,Investigation complete; no suspect identified
7431ae010e7a9f32394c5358df418217cf017faf6e0546ca312bdee7c893f18f,2022-07,Gwent Police,Gwent Police,-3.031616,51.612112,On or near Tone Road,W01001617,Newport 003A,Investigation complete; no suspect identified
e42b1c440092a7688592bdc17574d22a01b38a7ee0e3c4fc53c637a425755768,2022-07,Gwent Police,Gwent Police,-2.978998,51.586379,On or near Halstead Street,W01001690,Newport 013D,Investigation complete; no suspect identified
8ec698e3b52b0a009c7a487c1c80cafbb1a8619fa625d7fb3e969287bceb74b8,2022-07,Gwent Police,Gwent Police,-3.069252,51.731813,On or near Ambleside,W01001484,Torfaen 002C,Investigation complete; no suspect identified
1c756e2bac9cf79dbd20d5fbedbc7cea12e9e399e795b722a0d96b4f1a8ecfbb,2022-07,Gwent Police,Gwent Police,-3.228075,51.522767,On or near Heol Pentwyn,W01001894,Cardiff 010C,Investigation complete; no suspect identified
763c6b33f89d6592f9ed35a77a29d37c62d3ed45c7bac9daebd032c965a5b847,2022-07,Gwent Police,Gwent Police,-2.994485,51.764569,On or near Old Abergavenny Road,W01001555,Monmouthshire 006A,Investigation complete; no suspect identified
760da9dbd74d9b36a919bb0b00ed2ea86dab212b06deaa2b088c679717d59d98,2022-07,Gwent Police,Gwent Police,-3.144872,51.594913,On or near The Crescent,W01001342,Caerphilly 021A,Investigation complete; no suspect identified
faccab1af1c9a2b5128a6e3293ffbe4b48ca27af94de8839b8716aab1f0b8999,2022-07,Gwent Police,Gwent Police,-2.786912,51.587186,On or near Woodpecker Close,W01001582,Monmouthshire 011D,Investigation complete; no suspect identified
095bf6b37e1456f8534739588b814ad11c9c96cdeedc2093742dde24a34a54e6,2022-07,Gwent Police,Gwent Police,-2.927386,51.590063,On or near Cecil Sharp Road,W01001667,Newport 010C,Investigation complete; no suspect identified
1025096da33b880e2f57fbb6f24ec4ec53da9092e931f6d4b11ca7b7e1a8963f,2022-07,Gwent Police,Gwent Police,-3.281830,51.651098,On or near Thomas Street,W01001377,Caerphilly 013A,Investigation complete; no suspect identified
38dfde25accd9a07841babd3707c76b8173ff4c7b347b35a1523449b61b195e5,2022-07,Gwent Police,Gwent Police,-3.211640,51.788183,On or near Glanffrwd Terrace,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
d630d70b35beca014d959dbb8285f6d996bb81d466948625a3186101d7f9fd9d,2022-07,Gwent Police,Gwent Police,-3.248735,51.765901,On or near Park Hill,W01001478,Blaenau Gwent 006C,Investigation complete; no suspect identified
329038426d8a12258643318323977c3f68b6e0170788413f066e4d8f6813d906,2022-07,Gwent Police,Gwent Police,-3.001086,51.646248,On or near West Bank,W01001508,Torfaen 013C,Investigation complete; no suspect identified
986d8da941c6c26c565082e1b4e1ba14bf2e25f09169977a6d1706b2149d2cc0,2022-07,Gwent Police,Gwent Police,-3.027226,51.652946,On or near ,W01001528,Torfaen 010D,Investigation complete; no suspect identified
80d6a6040a7f1a28a6f68cfb6f09bd1a47c4b1f764e50a139d4d7542c5baba8c,2022-07,Gwent Police,Gwent Police,-3.207556,51.775322,On or near ,W01001460,Blaenau Gwent 007E,Investigation complete; no suspect identified
1fb1df66691ee5ec8c9275015f602e7baee0db65f306b5675c89f8c804866b56,2022-07,Gwent Police,Gwent Police,-3.230817,51.685156,On or near Cardiff Road,W01001337,Caerphilly 004B,Investigation complete; no suspect identified
b8ff1906c63b88c75de60faa92bc8319a3c9aafbc5065ea35a1f393724a6763f,2022-07,Gwent Police,Gwent Police,-2.083634,51.905482,On or near Manchester Way,E01022152,Cheltenham 004C,Investigation complete; no suspect identified
71aa7f9a800e54f01970efdb485d3394cce54986400d53f30bf81c5da0d7976e,2022-07,Gwent Police,Gwent Police,-3.021161,51.655255,On or near ,W01001506,Torfaen 010A,Investigation complete; no suspect identified
