Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6a6cab9dacfe038e7cfa1fe7031445a394ce9fdfadff4e5eff4ff83d79b2925f,2022-08,Gwent Police,Gwent Police,-3.207570,51.781832,On or near Beulah Place,W01001456,Blaenau Gwent 004C,Unable to prosecute suspect
caafc6e529ba287dda5acd1a8fc3545334c69c4f92ff1de5a6892110bb325ea6,2022-08,Gwent Police,Gwent Police,-3.172295,51.797834,On or near Clarence Street,W01001448,Blaenau Gwent 002C,Suspect charged
359d242e7b3a16d4930cb0484daaf41f8c88e00b441fde8b80fd2d60618ede00,2022-08,Gwent Police,Gwent Police,-3.028949,51.817654,On or near ,W01001564,Monmouthshire 003D,Unable to prosecute suspect
c1d3d596078d79772bc659dccc36333e0933ea5586822ade6540716a02147e46,2022-08,Gwent Police,Gwent Police,-3.280307,51.748324,On or near Board Street,W01001406,Caerphilly 001D,Local resolution
8d98780da3cef1ae78e2a4f29ad8929a6fb9145390a72c7b3ddb5c7505f54a70,2022-08,Gwent Police,Gwent Police,-2.996158,51.578340,On or near Lewis Close,W01001662,Newport 018D,Unable to prosecute suspect
11197d6173857440706d86428c655693f5b9912eb377290bfb3feffd2be81b7e,2022-08,Gwent Police,Gwent Police,-2.993517,51.580979,On or near ,W01001662,Newport 018D,Suspect charged
efe88c0e0e9a0d72a42578f714321fa939775612e06ec7f271eb90d75da9a228,2022-08,Gwent Police,Gwent Police,-3.221693,51.642847,On or near The Crescent,W01001369,Caerphilly 012D,Formal action is not in the public interest
85b55d1889d25b27d594bbae6528c34f402ff504cbf5544a942f4be19c05ebd0,2022-08,Gwent Police,Gwent Police,-2.997055,51.587010,On or near Waters Lane,W01001687,Newport 014D,Unable to prosecute suspect
003db8ec028c2a8d09f6146561e613a31b039170f1ee7a0653cce84786c0e00a,2022-08,Gwent Police,Gwent Police,-3.133586,51.683132,On or near Walters Avenue,W01001464,Blaenau Gwent 009A,Unable to prosecute suspect
4d799e27f375ac4b6b7ef2a5e432df0aaecb064ae6cd7fcda3afe881a2ff3fe0,2022-08,Gwent Police,Gwent Police,-2.987129,51.575944,On or near Constables Close,W01001659,Newport 018A,Unable to prosecute suspect
b2bca6edab7bca3c1facf6895c8fd15133481a4bcbea0cf1305243ffcbb332a2,2022-08,Gwent Police,Gwent Police,-3.026870,51.824487,On or near St Helen's Close,W01001557,Monmouthshire 001C,Unable to prosecute suspect
6b6c0025da8b3ad815cf68d67778073c2bd171cce03466e4c6b1fd49b07f4b92,2022-08,Gwent Police,Gwent Police,-3.009625,51.650716,On or near Miskin Green,W01001507,Torfaen 008D,Unable to prosecute suspect
c9f64238351934339fc49092efa4220d88a64ca055d36702d7bae698bcd0a213,2022-08,Gwent Police,Gwent Police,-2.570503,51.526340,On or near ,E01014952,South Gloucestershire 011G,Suspect charged
e08a413a6271048e78e6cdb4a50144c285c17f11757f509750838925fe63fced,2022-08,Gwent Police,Gwent Police,-3.232421,51.569443,On or near Beech Tree View,W01001426,Caerphilly 024E,Unable to prosecute suspect
0252db2d0fb86c5219a8f3502a20370657c24035d8dbefde6a322dd7595297c0,2022-08,Gwent Police,Gwent Police,-2.947086,51.582280,On or near Moorland Park,W01001646,Newport 015E,Unable to prosecute suspect
d146c3f999a649b909f143b6b62e32ea1d3968f2013d67c7bea856be6cdd94a8,2022-08,Gwent Police,Gwent Police,-2.755768,51.597884,On or near Brookside,W01001908,Monmouthshire 010G,Unable to prosecute suspect
45cc690b4d445f49b822fed69e83cae2183e7374419435b0f3c6a2e026ed0be3,2022-08,Gwent Police,Gwent Police,-3.001125,51.648684,On or near Twm Barlwm View,W01001507,Torfaen 008D,Unable to prosecute suspect
786fbd07eb795b791805ea450c84e53a008b36a79c664bb1a4813ee3399e8002,2022-08,Gwent Police,Gwent Police,-3.028631,51.648069,On or near Yew Tree Terrace,W01001527,Torfaen 010C,Unable to prosecute suspect
fb84a4a321ea20ce6f850280f775554175f3778aec38c46ce220098c2df81848,2022-08,Gwent Police,Gwent Police,-3.196433,51.653906,On or near Llanover Avenue,W01001405,Caerphilly 011E,Unable to prosecute suspect
76c83e3c8a014c367ad4a4645b59ee1a9034bd140d61319cb1d475b34d7f8839,2022-08,Gwent Police,Gwent Police,-2.754637,51.588855,On or near Norman Court,W01001589,Monmouthshire 010E,Unable to prosecute suspect
f64f7c694382247f496983d5efea415849ec008629a804a7a7ea7a012cf1c160,2022-08,Gwent Police,Gwent Police,-2.667611,51.628234,On or near Celandine Court,W01001592,Monmouthshire 008D,Unable to prosecute suspect
c30bc1fa8df6f3be282f685e76c3ef95cb1540b0751bd03db812c4542ae61a61,2022-08,Gwent Police,Gwent Police,-3.042708,51.704699,On or near ,W01001524,Torfaen 004D,Unable to prosecute suspect
e02a61ce6cdc3714bc6726ad05093db4a314f6893b56daccddaa962905a7bca1,2022-08,Gwent Police,Gwent Police,-2.993614,51.573515,On or near Oswald Road,W01001660,Newport 018B,Unable to prosecute suspect
d24b7b74ff32161227646b4f7854c499da2b48b0080d0bd8b36ed8342ff004c8,2022-08,Gwent Police,Gwent Police,-3.181582,51.655936,On or near Brookfield Road,W01001401,Caerphilly 011A,Unable to prosecute suspect
ce24d3d9878ff6ca84d38ae7ce8be2fe8ec6987547d40871a3c3ccea43fe9182,2022-08,Gwent Police,Gwent Police,-3.210419,51.802690,On or near Prince Philip Avenue,W01001441,Blaenau Gwent 001B,Unable to prosecute suspect
a6dbd00ef0ae17df04847fa081829eff037160fbe8f9653ab867930627de1221,2022-08,Gwent Police,Gwent Police,-2.997015,51.588512,On or near Griffin Street,W01001685,Newport 014B,Unable to prosecute suspect
85a0fde38028b595a7debde5dcc31e6e5d447f431b601843beb94951506babac,2022-08,Gwent Police,Gwent Police,-3.068786,51.739100,On or near Craigddu View,W01001483,Torfaen 002B,Unable to prosecute suspect
fba032d69acf31abe7376ddcdb0d78c3e0fda2d5714f7c72051012928e63ba71,2022-08,Gwent Police,Gwent Police,-2.994963,51.593681,On or near Canterbury Close,W01001681,Newport 006B,Unable to prosecute suspect
77cb0bf1c19515b01cfd398610ddcadbef8cd10169448138023df50bd0f8fbc3,2022-08,Gwent Police,Gwent Police,-3.227444,51.651922,On or near Bryn Golau,W01001365,Caerphilly 012C,Unable to prosecute suspect
cb7846cbfc8e9cbe6cb5a0e0b548cc8d4f70cb993802e8189c5f1466d91329b3,2022-08,Gwent Police,Gwent Police,-2.671097,51.624582,On or near Somerset Way,W01001593,Monmouthshire 008E,Unable to prosecute suspect
9e570c15970b9df851097352698159b4ad5c6ff55b61338bc012a7deb60f32f8,2022-08,Gwent Police,Gwent Police,-2.943193,51.590809,On or near Dents Close,W01001609,Newport 015B,Unable to prosecute suspect
4fb1c038b6ac1168ad2c241c09bdd872547fda68231d531f9848346b1312a984,2022-08,Gwent Police,Gwent Police,-3.076860,51.771054,On or near Trem-Y-Mynydd,W01001487,Torfaen 001A,Unable to prosecute suspect
a4efed529710b9fc867b6c48d2643c78c43f7db6631988d6b4b1bae49cfa155c,2022-08,Gwent Police,Gwent Police,-3.218373,51.587483,On or near Heol-Y-Wern,W01001372,Caerphilly 022B,Unable to prosecute suspect
5ff903ba5acc0ef25d9ec1edd4b792f80812a2e0ad3a62d19c59b5d316ec864d,2022-08,Gwent Police,Gwent Police,-2.756664,51.591836,On or near Cae Mawr Road,W01001551,Monmouthshire 010C,Unable to prosecute suspect
c27d5ece6a128bc6768ec38b4a6fff59b0f52c54fa5c5dd76bc08d812575f4b0,2022-08,Gwent Police,Gwent Police,-3.156006,51.766526,On or near Southlands,W01001444,Blaenau Gwent 005B,Unable to prosecute suspect
0a572d39a2b0a7dbd523ff955ea9d2dac183df6d3ce869e5da4031eb78a06b37,2022-08,Gwent Police,Gwent Police,-3.280943,51.754935,On or near Jerusalem Street,W01001375,Caerphilly 001B,Unable to prosecute suspect
45bd0bdfa752035c5700be68117a2be2137354480b2c5ebb98eca83e374f20d1,2022-08,Gwent Police,Gwent Police,-3.199190,51.753918,On or near Brecon Heights,W01001452,Blaenau Gwent 007C,Unable to prosecute suspect
13b47377596667944ad74ea4bf851e124cc395ee2c6dd2a009cff303dae3ef0e,2022-08,Gwent Police,Gwent Police,-3.068043,51.729684,On or near Bakery Close,W01001485,Torfaen 002D,Unable to prosecute suspect
2a900f3740c5558c14e00e6079cc5e3e5159e4f9f4ccb05b46a0db8a86eae384,2022-08,Gwent Police,Gwent Police,-2.719326,51.805714,On or near Castle Close,W01001576,Monmouthshire 004D,Unable to prosecute suspect
4ffe6e4640414a8390be30de63b3ad5fa49d751de10e261576741ef3a9e6a8b4,2022-08,Gwent Police,Gwent Police,-3.226711,51.796470,On or near Rassau Road,W01001470,Blaenau Gwent 001D,Unable to prosecute suspect
f86017f4b32e87c2e14348cc8d83972641440252b5b1b02449b0c76370b79ded,2022-08,Gwent Police,Gwent Police,-3.078251,51.545730,On or near Walk Farm Drive,W01001657,Newport 020C,Unable to prosecute suspect
c77da8e8efe2a3e524360cf1509cdd0226e5e16de2ac4700d3946b7d6370dd50,2022-08,Gwent Police,Gwent Police,-3.182134,51.790902,On or near Golf Road,W01001467,Blaenau Gwent 005D,Unable to prosecute suspect
d0b649aa740ec9db17eb30794932086771478f85db7b3fb0b0a13d27d7a5cc7b,2022-08,Gwent Police,Gwent Police,-3.207570,51.781832,On or near Beulah Place,W01001456,Blaenau Gwent 004C,Unable to prosecute suspect
b2eb8ffac806760ea2238f0b8e1410770f061ddbd28380767b3ee293762a0aee,2022-08,Gwent Police,Gwent Police,-3.218115,51.583215,On or near Acre Close,W01001372,Caerphilly 022B,Unable to prosecute suspect
5132a9591fd6cabdf42d5a8e0681371763dbdc1b84ab4f44cf373f108a95e8cb,2022-08,Gwent Police,Gwent Police,-3.085174,51.773855,On or near ,W01001489,Torfaen 001C,Unable to prosecute suspect
77206a2a2ddad3540c532465602e11e59f4e72c76c48c221a2a6a33497a22157,2022-08,Gwent Police,Gwent Police,-3.015392,51.827671,On or near Park Avenue,W01001580,Monmouthshire 002E,Unable to prosecute suspect
d56d66e80d2c17a7117697bd0810fc839783bc69d2946147b2e3dc5a9d66428e,2022-08,Gwent Police,Gwent Police,-2.762812,51.586608,On or near Longfellow Court,W01001598,Monmouthshire 010F,Unable to prosecute suspect
5c45e0d17ef1af49426ef84335cef51bb67be78fb712908b3268027f5d175589,2022-08,Gwent Police,Gwent Police,-3.099533,51.608331,On or near Station Place,W01001412,Caerphilly 017B,Unable to prosecute suspect
8c84275c889780d27a7ea8f7993827c81af29c9b1be00e669c127f0a45658882,2022-08,Gwent Police,Gwent Police,-3.065093,51.736643,On or near Trem Yr Hafren,W01001483,Torfaen 002B,Unable to prosecute suspect
5c73cee57a8f2ef1e2b3f45f0557b38ce9cd2c3072a58232cbb294d47d30d2d8,2022-08,Gwent Police,Gwent Police,-3.235585,51.590333,On or near Y Cilgant,W01001400,Caerphilly 019F,Unable to prosecute suspect
639268f1d299f23d60874a4aaa61ce810da67f37a601571997bd972b23feb186,2022-08,Gwent Police,Gwent Police,-3.003522,51.586397,On or near Sidney Street,W01001685,Newport 014B,Unable to prosecute suspect
9bc06aab218b444e4e4e1d134363aa0e988a1e86b023fe94818e472c90d9ae3a,2022-08,Gwent Police,Gwent Police,-3.158967,51.776873,On or near Pant View,W01001469,Blaenau Gwent 005F,Unable to prosecute suspect
23e8d8f2bea4317912372f230c467c135772fb09b12aee2873954b8638e2731d,2022-08,Gwent Police,Gwent Police,-3.010977,51.667284,On or near Bryn Gomer,W01001494,Torfaen 008B,Unable to prosecute suspect
1b581f9ac8e437f7d5c18c0ada1f1f9f218b6d6b7d8cf7df4a0718f75863e47b,2022-08,Gwent Police,Gwent Police,-3.054325,51.652238,On or near Heol Marlborough,W01001502,Torfaen 011E,Unable to prosecute suspect
2a6e58e1568ab6530cd41dffec7026f7e58601801940e00c9a4f1d1d61443245,2022-08,Gwent Police,Gwent Police,-3.129349,51.618622,On or near ,W01001355,Caerphilly 015A,Unable to prosecute suspect
82df9b596c7ed6773b6ccb7f7e83d42f54f0180f21c92b5a29667da851bf3c0f,2022-08,Gwent Police,Gwent Police,-3.138977,51.678323,On or near Station Road,W01001359,Caerphilly 006D,Unable to prosecute suspect
c137c77754a50dbf0730aed4317c60aa673bf6a2ba5bd05ce80dca51f1165a36,2022-08,Gwent Police,Gwent Police,-3.049782,51.660209,On or near Taff Court,W01001536,Torfaen 009C,Unable to prosecute suspect
b2c1ca4ae90337019b27206e73cd2e8fde3f1aa43b61b49910acd240268b5ca2,2022-08,Gwent Police,Gwent Police,-2.752121,51.590373,On or near ,W01001589,Monmouthshire 010E,Unable to prosecute suspect
e515e50ca44cebb38eb7800212ed0e61e17ba06b82bd314447c3cd1391e4a626,2022-08,Gwent Police,Gwent Police,-2.954387,51.577348,On or near Willow Close,W01001648,Newport 015G,Suspect charged
7673b202cb1d9b252f92f9478e3a4f686914dc301f82d3f862e4c5168d317af3,2022-08,Gwent Police,Gwent Police,-3.025158,51.656228,On or near Taliesin,W01001519,Torfaen 007A,Suspect charged
78ea76d91f3ae14f1f1ec7acf61cd35f5618cb068d5180a21c6932eafdaeb682,2022-08,Gwent Police,Gwent Police,-3.234571,51.636517,On or near ,W01001434,Caerphilly 013F,Suspect charged
f086b3b2df1202b9078420ffdc594f8cefb7ce5ef93970ffb9910d768e22fdf6,2022-08,Gwent Police,Gwent Police,-3.023523,51.671555,On or near Ffordd Tir Brychiad,W01001520,Torfaen 007B,Unable to prosecute suspect
4149de772310319dfae3d7f695ead683b51f8de93b27e5b0d2f41d57bd346fa2,2022-08,Gwent Police,Gwent Police,-3.086107,51.608510,On or near Almond Avenue,W01001410,Caerphilly 016D,Unable to prosecute suspect
4921e1b2edfa76e606a25da7153b98366cc8d2eb2e85fed23452845bea150d97,2022-08,Gwent Police,Gwent Police,-3.052475,51.710879,On or near Hill Street,W01001529,Torfaen 003B,Unable to prosecute suspect
65e270721c85e85908baef6d0ba574422f85df8792a5fe024a1d1b9e844fca74,2022-08,Gwent Police,Gwent Police,-2.997721,51.588461,On or near Cambrian Road,W01001685,Newport 014B,Unable to prosecute suspect
aecfd20d65d01781f20516b02c3ae925afe8f32a6485cb547d3999cba0e18e0a,2022-08,Gwent Police,Gwent Police,-3.179191,51.618410,On or near Mill Street,W01001431,Caerphilly 015C,Suspect charged
531d9b2fbbd4d75c609cbc3c3e7ef890f79739b02dd68f4ab54ed13eb34280c0,2022-08,Gwent Police,Gwent Police,-3.034942,51.614205,On or near Torridge Road,W01001621,Newport 003E,Suspect charged
4c9f3de3c7d517d1c189d21f079779e8a8b99f74e2ad6d6cf94dd5b1cd6ac193,2022-08,Gwent Police,Gwent Police,-3.031695,51.825461,On or near Brecon Road,W01001545,Monmouthshire 001A,Unable to prosecute suspect
e38dcfd2e6a1b857839da37b923e442b0d66edaa575a09b7a77adf0f63e08189,2022-08,Gwent Police,Gwent Police,-3.081429,51.608562,On or near Cader Idris Close,W01001410,Caerphilly 016D,Unable to prosecute suspect
3ed1a09efa04b57606f6237e0e64670c2993d7bebee0f75ff5c175f33e2aa6b7,2022-08,Gwent Police,Gwent Police,-3.034942,51.614205,On or near Torridge Road,W01001621,Newport 003E,Suspect charged
66185e376b0187d681013f3a3a979e248565dd406a2dae2f0cc6bfda254e8365,2022-08,Gwent Police,Gwent Police,-3.031245,51.783354,On or near ,W01001564,Monmouthshire 003D,Unable to prosecute suspect
19e561e5e4b3cf78fc8166f05b59428b38298e5980e5167b0bd7741993c2a5f8,2022-08,Gwent Police,Gwent Police,-3.134011,51.642818,On or near Commercial Road,W01001327,Caerphilly 014A,Suspect charged
a7395ac75d75e4cdfa006820f5d3395854bc6a91ad99c7690f9e0d98b48abcf5,2022-08,Gwent Police,Gwent Police,-3.175676,51.795130,On or near Blaina Road,W01001467,Blaenau Gwent 005D,Unable to prosecute suspect
ce8697ba459ef4b73e48e2a4437085a6075f910bc42a203c2c2ef4eec2b7ccd6,2022-08,Gwent Police,Gwent Police,-3.211804,51.786743,On or near Cemetery Road,W01001458,Blaenau Gwent 004E,Suspect charged
2b6c0118831bde51b468687d261c06eeb5d43db48585e8ee4488676cf792633a,2022-08,Gwent Police,Gwent Police,-2.967333,51.599820,On or near Constable Drive,W01001615,Newport 005B,Local resolution
46e4df461d1eacee7dd5a34604219bf9cddb5578df19076acb5e769274e655fd,2022-08,Gwent Police,Gwent Police,-2.715498,51.812229,On or near Agincourt Square,W01001554,Monmouthshire 004C,Unable to prosecute suspect
137945f1f816a0adf9e4d656e9cf8036030a68b726d7666863d76b3681e89ffa,2022-08,Gwent Police,Gwent Police,-3.029141,51.646356,On or near Orchard Place,W01001527,Torfaen 010C,Unable to prosecute suspect
58e32253486de17c97704d9b985ac00ca43f102b5c765083808f355b34b7f57e,2022-08,Gwent Police,Gwent Police,-3.056400,51.582318,On or near Hoelion Grove,W01001672,Newport 009C,Unable to prosecute suspect
a69ace9f39c0d6ff9265f58cb422e2c624c946309403296cc6a65a833a336575,2022-08,Gwent Police,Gwent Police,-3.031674,51.697424,On or near School View,W01001524,Torfaen 004D,Unable to prosecute suspect
c5886c2f14f8c4e509143aea486d7e6ef02eec3b792e72e851f954e62dd82029,2022-08,Gwent Police,Gwent Police,-3.031674,51.697424,On or near School View,W01001524,Torfaen 004D,Unable to prosecute suspect
4a6f27ebd96a7537feb1c9a9b6cdea134d9e6db030205d7c8f8e691f9e66f700,2022-08,Gwent Police,Gwent Police,-3.020774,51.609069,On or near Tamar Close,W01001618,Newport 003B,Unable to prosecute suspect
de57126d81feb90b7572b7f9f7ed2ba36f5ecb9ae5859a19534d69a2830f362c,2022-08,Gwent Police,Gwent Police,-3.219166,51.667015,On or near ,W01001388,Caerphilly 007D,Unable to prosecute suspect
199bc1b24c2ccc3f26c54e3f405a526129273caa0e1f7db8481ee550ebb67dc6,2022-08,Gwent Police,Gwent Police,-3.245817,51.775193,On or near ,W01001481,Blaenau Gwent 006E,Unable to prosecute suspect
0e6243df813da8fd3dcb12bfdbef38e293504b635766a99dbbc4c1a0a5f8bf6b,2022-08,Gwent Police,Gwent Police,-3.090135,51.774025,On or near Cilgant Cennard,W01001489,Torfaen 001C,Unable to prosecute suspect
f442d8c120a5e84e8799ab9e9fb4c37500a5d334bec8da4ef7faafc80dceeb59,2022-08,Gwent Police,Gwent Police,-3.246509,51.769251,On or near ,W01001478,Blaenau Gwent 006C,Unable to prosecute suspect
780052033d219a9fcda475928fb5936652ddc5034cd93b2c14791a26c69d00f6,2022-08,Gwent Police,Gwent Police,-3.232151,51.605359,On or near Grove Street,W01001368,Caerphilly 019C,Unable to prosecute suspect
dcc5b316d116bd81e46ce7ff5a71b7dc10660c535546e173a8644b0c6bfaa3cb,2022-08,Gwent Police,Gwent Police,-3.065315,51.727605,On or near Fairfield Close,W01001484,Torfaen 002C,Unable to prosecute suspect
d9e7bc49667bec15b44f397d3fc29775e429a568ab4186390fdfaf6c2cf6ab60,2022-08,Gwent Police,Gwent Police,-3.032253,51.664986,On or near Beech Close,W01001522,Torfaen 007D,Unable to prosecute suspect
7cafbaf7eb42cd03ebdead01f81e470e8d938e3a0c827d6b71fbba8c1dba0c27,2022-08,Gwent Police,Gwent Police,-3.043183,51.639147,On or near Tydies,W01001492,Torfaen 012A,Unable to prosecute suspect
269c26e5d09b706279f76222caf42df174c71143835fabb5a586d55a012f1b25,2022-08,Gwent Police,Gwent Police,-3.001125,51.648684,On or near Twm Barlwm View,W01001507,Torfaen 008D,Unable to prosecute suspect
d3b06ab48ee1a4e639c4e4cb5264968f408b9707f15873ddf6b0482ba2fe8436,2022-08,Gwent Police,Gwent Police,-3.131766,51.595004,On or near Chatham Street,W01001343,Caerphilly 021B,Unable to prosecute suspect
5a75dd14a5f3545f7447b0ce0b2bf8b48e0186f130b374dbd394bab6f62a6c43,2022-08,Gwent Police,Gwent Police,-3.161437,51.596261,On or near Penllwyn Lane,W01001343,Caerphilly 021B,Unable to prosecute suspect
350dfea413fb9b11f8c6049f5c3548657688e88930391a5d90b4095247941196,2022-08,Gwent Police,Gwent Police,-3.261683,51.741206,On or near Westville,W01001374,Caerphilly 001A,Unable to prosecute suspect
24bf8550fe5202d5803b31b6b6915d6d1394dab3ab2b52086d4acf8b344c6d97,2022-08,Gwent Police,Gwent Police,-3.229760,51.652563,On or near Heol Gethin,W01001364,Caerphilly 012B,Unable to prosecute suspect
d698f9bb9624996d6212b65963f7d2257a6224f587328506d598438a3ef97308,2022-08,Gwent Police,Gwent Police,-3.225566,51.647158,On or near Hengoed,W01001365,Caerphilly 012C,Unable to prosecute suspect
fedd3e9ed4a095e7592a8689e5468f98de076d378299ec4495911f1844d43475,2022-08,Gwent Police,Gwent Police,-3.134473,51.737657,On or near ,W01001455,Blaenau Gwent 008F,Unable to prosecute suspect
7283be9c0d0f114ef2eb64dab76a8a6dad5fafd971ba86616c29cfa8a78476d0,2022-08,Gwent Police,Gwent Police,-3.235585,51.590333,On or near Y Cilgant,W01001400,Caerphilly 019F,Unable to prosecute suspect
c7314f535596207aa4f39f9ed573e54f1a9a9dc161166d6777c2ca610fabaff0,2022-08,Gwent Police,Gwent Police,-3.146694,51.673500,On or near Llanarth Road,W01001356,Caerphilly 006A,Local resolution
5c110237608702f16b1d9dc9735d2b196b69c9f2adf56955cd51428a3e41d65d,2022-08,Gwent Police,Gwent Police,-2.955911,51.585338,On or near Aberthaw Drive,W01001607,Newport 015A,Unable to prosecute suspect
